Jahr, Genossenschaftswohnungen, Ohne Genossenschaftswohnungen,
2005,705,1090,
2006,727,1104,
2007,741,1113,
2008,770,1129,
2009,782,1159,
2010,788,1177,
2011,800,1200,
2012,809,1213,
2013,815,1221,
2014,824,1227,
2015,834,1246,
