Jahr,Nettowohnungsproduktion,Neubau,Abbruch,Umbausaldo
2005,215,301,-14,-72
2006,163,353,-134,-56
2007,-61,120,-107,-74
2008,48,201,-125,-28
2009,300,468,-150,-18
2010,208,372,-146,-18
2011,311,351,-58,18
2012,270,268,-26,28
2013,171,177,-41,35
2014,496,369,-53,180
