Jahr,Anzahl Notwohnungen,Belegte Notwohnungen,Belegungsquote (Anteil belegter Notw. in %)
2009,106,63,59.4
2010,105,81,77.1
2011,104,94,90.4
2012,101,95,94.1
2013,98,95,96.9
2014,102,99,97.1
2015,141,130,92.2
