Kategorie,bis 29 qm,30 - 49 qm,50 - 69 qm,70 - 99 qm,100 - 149 qm,150+ qm
1-Zimmer,2836,7261,363,105,50,8
2-Zimmer,5,5932,17157,1428,153,20
3-Zimmer,2,161,13319,24669,1755,121
4-Zimmer,0,10,340,10294,7587,561
5-Zimmer,0,2,28,648,4779,1477
6+-Zimmer,0,0,4,113,1831,3936
Alle,2843,13366,31211,37257,16155,6123
