Jahr,Weiss nicht/Keine Angabe,Sehr unzufrieden,Eher unzufrieden,Eher zufrieden,Sehr zufrieden
2003,28,28,233,929,274
2005,32,29,260,948,234
2007,33,17,294,962,196
2011,23,23,203,846,413
2015,36,22,181,904,346
